sentence,bleu_score,rate
but the French will be able to do it all.,17.542198478193427,0.9988592863082886
I can't even say it.,51.341711903259224,0.9986482262611389
"he come round at night, kicked my door in, dragged me out of",38.89885389144359,0.9940827488899231
he rolled his eyes!,27.440581804701317,0.9977023005485535
I'm the customer here!,40.93653765389909,0.9989500641822815
you're a date.,27.534765745159184,0.9974285960197449
"our biggest export is garbage, but apart from garbage we export military equipment.",67.48279752586892,0.9777476191520691
get your gun and pull the trigger.,84.08964152537145,0.7966882586479187
who is this man?,16.49093288725696,0.9967988729476929
just a little sluggish!,10.682175159905848,0.974963366985321
I'll talk to your boss.,67.31821382417488,0.9975872039794922
he planned it well. He's a businessman.,21.386638885976566,0.996722400188446
what did you do to him?,45.691722266180875,0.9970484375953674
"how about a little ""Bitch, my man doesn't have your baby's",52.433512737925774,-0.9527746438980103
bad system run by blacks is the same as bad system run by whites.,93.55069850316181,-0.8977993726730347
the thing would be dying.,15.207218222740094,0.9955692887306213
the best.,0.0,0.9987348914146423
a lot of I. - Ballesteros M.A. - Valous,47.63070990888224,0.9939942955970764
Marie n'a pas slammed precious moments.,11.737849637633069,0.9979350566864014
where are the keys for this case?,28.96204682801084,0.999140739440918
this is supposed to be a happy time.,53.417359568998464,0.9956111311912537
I'm breaking my shit.,66.87403049764218,-0.9508745670318604
"""he wouldn't tell you a shit.""",31.02016197007,-0.9413540959358215
a knife in the throat.,84.64817248906144,0.7906123995780945
"you're kind of a jerk, aren't you?",86.33400213704509,-0.9645739197731018
he's dying in front of us while he's in town he',37.452423894596954,0.9934338331222534
I'll win about $1 million from all of this.,36.79134727458049,0.9978538155555725
get your paws off me!,54.44460596606694,0.9948203563690186
would you help them send them to Pennsylvania?,10.589620902360299,0.9972791075706482
"""if a man goes a-traveling, he'll not come back",46.26266998613165,0.9971033930778503
"Petey Greene, we charge you with your dick.",20.062095993750134,-0.9338235855102539
I started the first fires in this city.,71.89393375176813,0.9990530610084534
you bring me here to meet some guy who doesn't even know what's going on,35.116777059394764,0.9965439438819885
it's not your fault.,44.932896411722176,0.9955102205276489
it's time!,0.0,0.9985532164573669
"you're gay today, and you sound different.",22.31618068926665,0.5849131345748901
he'll create enormous mental defects.,46.08636396914616,0.9716920852661133
the wine.,0.0,0.9988014698028564
"he'll be able to get out of this one, Mark!",51.56626918239821,0.9961984753608704
the last person who got the better of me... I tracked her down... and tortured her,54.942200415345276,0.9827844500541687
it's the same with Jari's hair and the sand.,66.06328636027612,0.996956467628479
"I'm not afraid, I don't give anyone who knows.",29.0374612189482,0.9977082014083862
"Jim swung the shotgun at them and shouted, ""Drop",46.7751969423698,0.9873183369636536
"there were chicken stands on the corner, and now there's a taco stand on",41.5271560694361,0.9964904189109802
you're a sword!,36.06452879987789,0.9972653388977051
you're Bob Fosse.,21.444097124017667,0.9933470487594604
"have you ever had sex, ezra?",84.08964152537145,0.6158835291862488
I'm not your brother.,19.3576934939088,0.9966456294059753
you forgot!,0.0,0.9979077577590942
