sentence,bleu_score,rate
But the French will hog them all.,100.00000000000004,0.9785378575325012
Gay? Oh! I can't even say it,89.483931681437,0.9242454767227173
"He come round at night, kicked my door in, dragged me out of bed and",48.96204302621177,0.9940179586410522
Of course he rolled his eyes!,61.29752413741059,0.9969684481620789
I'm the customer here!,40.93653765389909,0.9989500641822815
You're a bad date.,30.213753973567677,0.9963003396987915
"Our biggest export, practically, is garbage, but apart from garbage we export military equipment",94.28731438548752,0.977523148059845
Get your gun and pull the trigger.,100.00000000000004,0.7966882586479187
Who is this man?,24.659696394160658,0.9967988729476929
Just wanking!,0.0,0.9951069355010986
I'll talk to your boss.,67.31821382417488,0.9975872039794922
He planned it well He's a businessman.,51.0029457493824,0.9961521029472351
What did you do to him? Just kill him.,100.00000000000004,-0.8836100101470947
"How about a little ""my man ain't your baby's daddy""?",72.9836014355472,0.9550005197525024
A bad system run by blacks is the same as bad system ran by whites.,81.53551038173119,-0.9004890322685242
The thing would starve to death.,100.00000000000004,0.9665369391441345
Pumpkin is the best.,57.89300674674101,0.9964313507080078
Moron I. - Ballesteros M.A. - Valouskova,57.95782787848098,0.9962015748023987
Marie did not waste precious moments being naive.,75.06238537503395,0.993087112903595
Where's the keys for this case? Where's the...,79.78973106703806,0.9990216493606567
This is supposed to be a happy time.,66.90484408935988,0.9956111311912537
Quit breaking my mind.,42.72870063962342,0.9901313781738281
He wouldn't tell you anything.,38.49815007763549,0.9980708956718445
Child's is a knife in the throat,61.47881529512643,-0.6777732372283936
"You're kind of a bad person, aren't you?",52.53819788848316,0.979125440120697
Hmm? Poor Mom dying in front of us while he's across town screwing her,93.55069850316181,0.9774572849273682
I'm gonna win about $1 million out of all of this.,86.17038791239612,0.9976907968521118
Get your paws off me,54.88116360940266,0.9768879413604736
Did you help send them miners up the scaffold in Pennsylvania?,76.7733168433653,0.9904864430427551
"""If he goes a-traveling, he'll not come back with a horse",52.40124171055639,0.996594250202179
"Judge say, ""Mr. Petey Greene, we charging you with using your word",93.06048591020995,0.9939119815826416
I started the first fires in this city.,71.89393375176813,0.9990530610084534
"Cos you bring me here to meet some guy ""Nigel"" that ain't even",71.65313105737896,0.995010495185852
It's not your fault.,30.048438849849045,0.9955102205276489
"Well, it's about time!",51.15078115793242,0.9987888932228088
You're quite gay today. You sound different.,100.00000000000004,0.5822424292564392
"Davros, this will create enormous mental defects.",100.00000000000004,0.9673553705215454
The wine.,0.0,0.9988014698028564
"Try and make your way out of this one, Mark!",76.91605673134588,0.9972211122512817
The last person that got the better of me... I tracked her down... and tortured,62.677822909120174,0.9604288935661316
It's the same with Jari's hair and butt.,71.89393375176813,0.8336530327796936
I'm not afraid. I don't care who knows.,53.87551338654778,0.9979209303855896
"Jim thrust the shotgun at them and shouted, ""Drop them!""",65.3044386129496,0.9642761945724487
"There used to be chicken stands on the corner, and now there's taco stands on",68.97838757919898,0.9987653493881226
Throw me a sword!,81.87307530779823,0.9902560114860535
